name,category,views,ingredients,method,garnish,image_url,url
Pisco Sour,Contemporary Classics,69.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-pisco-sour-6695cdcaf1122.webp,https://iba-world.com/iba-cocktail/pisco-sour/
Planters Punch,The unforgettables,78.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-planters-punch-66949122d41fb.webp,https://iba-world.com/iba-cocktail/planters-punch/
Porn Star Martini,New Era,1.3M views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-porn-star-martini-6695d3b771b97.webp,https://iba-world.com/iba-cocktail/porn-star-martini/
Porto Flip,The unforgettables,83.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-porto-flip-669491230cea4.webp,https://iba-world.com/iba-cocktail/porto-flip/
Rabo de Galo,Contemporary Classics,63.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-rabo-de-galo-6695cdcdb2df1.webp,https://iba-world.com/iba-cocktail/rabo-de-galo/
Ramos Fizz,The unforgettables,88.0K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-ramos-fizz-669491260ca6c.webp,https://iba-world.com/iba-cocktail/ramos-fizz/
Remember the Maine,The unforgettables,62.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-remember-the-main-6694912622959.webp,https://iba-world.com/iba-cocktail/remember-the-maine/
Russian Spring Punch,New Era,75.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-russian-spring-punch-6695d3ba314f1.webp,https://iba-world.com/iba-cocktail/russian-spring-punch/
Rusty Nail,The unforgettables,64.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-rusty-nail-66949129acfd1.webp,https://iba-world.com/iba-cocktail/rusty-nail/
Sazerac,The unforgettables,103.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-sazerac-66949129b50d1.webp,https://iba-world.com/iba-cocktail/sazerac/
Sea Breeze,Contemporary Classics,64.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-sea-breeze-6695cdce015a8.webp,https://iba-world.com/iba-cocktail/sea-breeze/
Sex on the Beach,Contemporary Classics,592.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-sex-on-the-beach-6695cdd0aecf3.webp,https://iba-world.com/iba-cocktail/sex-on-the-beach/
Sherry Cobbler,New Era,53.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-sherry-cobbler-6695d3ba8bdb7.webp,https://iba-world.com/iba-cocktail/sherry-cobbler/
Sidecar,The unforgettables,120.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-sidecar-6694912cb8aa9.webp,https://iba-world.com/iba-cocktail/sidecar/
Singapore Sling,Contemporary Classics,85.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-singapore-sling-6695cdd136426.webp,https://iba-world.com/iba-cocktail/singapore-sling/
South Side,New Era,96.8K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-south-side-6695d3bdcc9fe.webp,https://iba-world.com/iba-cocktail/south-side/
Spicy Fifty,New Era,61.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-spicy-fifty-6695d3bdd14b1.webp,https://iba-world.com/iba-cocktail/spicy-fifty/
Spritz,New Era,130.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-spritz-6695d3c0f113f.webp,https://iba-world.com/iba-cocktail/spritz/
Stinger,The unforgettables,66.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-stinger-6694912ce0b8d.webp,https://iba-world.com/iba-cocktail/stinger/
Suffering Bastard,New Era,87.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-suffering-bastard-6695d3c1081c4.webp,https://iba-world.com/iba-cocktail/suffering-bastard/
Tequila Sunrise,Contemporary Classics,110.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-tequila-sunrise-6695cdd3da10a.webp,https://iba-world.com/iba-cocktail/tequila-sunrise/
Three Dots and a Dash,New Era,79.0K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-three-dots-and-a-dash-6695d3c3e2d24.webp,https://iba-world.com/iba-cocktail/three-dots-and-a-dash/
Tipperary,New Era,55.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-tipperary-6695d3c453fd3.webp,https://iba-world.com/iba-cocktail/tipperary/
Tommy’s Margarita,New Era,104.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-tommys-margarita-6695d3c7171ef.webp,https://iba-world.com/iba-cocktail/tommys-margarita/
Trinidad Sour,New Era,60.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-trinidad-sour-6695d3c794a43.webp,https://iba-world.com/iba-cocktail/trinidad-sour/
Tuxedo,The unforgettables,77.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-tuxedo-6694912fd3b8f.webp,https://iba-world.com/iba-cocktail/tuxedo/
Ve.N.To,New Era,63.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-vento-6695d3ca45bc2.webp,https://iba-world.com/iba-cocktail/ve-n-to/
Vesper,Contemporary Classics,102.4K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-vesper-6695cdd43284b.webp,https://iba-world.com/iba-cocktail/vesper/
Vieux Carré,The unforgettables,69.8K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-vieux-carre-6694913015248.webp,https://iba-world.com/iba-cocktail/vieux-carre/
Whiskey Sour,The unforgettables,159.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-whiskey-sour-66949132e6ae9.webp,https://iba-world.com/iba-cocktail/whiskey-sour/
White Lady,The unforgettables,109.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-white-lady-6694913318105.webp,https://iba-world.com/iba-cocktail/white-lady/
Zombie,Contemporary Classics,104.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-zombie-6695cdd6cef05.webp,https://iba-world.com/iba-cocktail/zombie/
